rank,headword,pos,en,ex_fr,ex_en,dispersion,freq
1,le,"det, pro","the; him, her, it, them","vive la politique, vive l’amour –","long live politics, long live love",89,2359662
2,de,"det, prep","of, from, some, any",il ne rêve que d’argent et de plaisirs –,he only dreams of money and pleasure,88,1665907
3,un,"adj, det, nm, pro","a, an, one",je me suis cassé un ongle –,I broke one of my fingernails,95,421500
4,à,prep,"to, at, in",ils restent à l’école le plus longtemps possible –,they remain at school as long as possible,93,557546
5,être,"nm, v",to be; being,tout le monde veut être beau –,everybody wants to be beautiful,91,514562
6,et,conj,and,et les larmes se remirent à couler –,and the tears started flowing again,93,364443
7,en,"adv, prep, pro","in, by",je suis retournée en Espagne en septembre,–I returned to Spain in September,94,242952
8,avoir,"nm, v",to have,on était six donc tu peux pas avoir une conversation –,there were six of us so you can’t have a conversation,89,405020
9,que,"adv, conj, pro","that, which, who, whom",c’est un soldat. mais que fait-il ici? –,it’s a soldier. but what’s he doing here?,88,348428
10,pour,prep,"for, in order to",elle jouait pour gagner –,she played to win,93,151709
11,dans,prep,"in, into, from",je reviendrai dans dix minutes –,I will return in 10 minutes,93,161033
12,ce,"det, pro","this, that",je ne déteste pas cet homme –,I do not detest this man,87,307421
13,il,pro,"he, it",allez voir s’il est blessé –,go see if he is injured,86,251585
14,qui,pro,"who, whom",je ne sais pas à qui m’adresser –,I don’t know who to talk to,89,160867
15,ne,adv,not,nous ne faisons pas du très bon travail –,we are not doing very good work,86,195309
16,sur,"adj, prep","on, upon",t’avais une chance sur un million –,you had one chance in a million,92,97798
17,se,pro,"oneself, himself, herself, itself, themselves","avec ce traité, le Japon se rapproche des Etats-Unis –","with this treaty, Japan brings itself closer to the U.S.",88,144707
18,pas,"adv, nm(pl)","not, n’t; footstep","non, ne touchez pas! –","no, don’t touch it!",83,161746
19,plus,adv,"more, no more",il est considérablement plus jeune que moi –,he’s considerably younger than I am,90,85987
20,pouvoir,"nm, v","can, to be able to",tu peux jouer de la guitare électrique –,you can play electric guitar,90,78074
21,par,prep,by,il s’y trouvait par hasard –,he found himself there by accident,87,99628
22,je,pro,I,je suis contente de vous revoir –,I am happy to see you again,73,227259
23,avec,prep,with,vous voulez aller au ciné avec moi? –,do you want to go to a movie with me?,91,66056
24,tout,"adv, det, nadj, pro","all, very","comme vous voyez, tout est propre –","as you see, everything is clean",86,95071
25,faire,"nm, v","to do, make",qu’est-ce qu’il fait? –,what’s he doing?,85,99587
26,son,"det, nm","his, her, its; sound; bran",un ami ingénieur du son m’aide pour les arrangements –,a sound engineer friend of mine helped me with the arrangements,81,116681
27,mettre,v,"to put, place",je peux me mettre à votre table? –,may I sit at your table?,96,19654
28,autre,"det, nadj(f), pro",other,il y a un autre problème –,there’s another problem,91,40519
29,on,pro,"one, we",on tire et on pose les questions ensuite –,we shoot first and ask questions later,80,87982
30,mais,"adv, conj, intj",but,"je ne suis pas riche, mais je connais la vérité –","I’m not rich, but I know the truth",83,69661
31,nous,pro,"we, us",nous devons nous défendre nous-mêmes –,we must defend ourselves,78,89100
32,comme,"adv, conj","like, as","Tony et moi, on est comme des frères –","Tony and I, we’re like brothers",87,49608
33,ou,conj,or,il en reste du café ou pas? –,is there some coffee left or not?,86,49714
34,si,"adv, conj, nmi","if, whether","aujourd’hui, notre économie va si mal –",today our economy is going so poorly,87,46439
35,leur,"det, adj(f), pro","them, their, theirs",l’énergie solaire assurait leur survie –,solar energy assured their survival,87,39904
36,y,"adv, nmi, pro",there,c’est certain qu’on va y aller –,it’s for certain that we’ll be going there,83,55889
37,dire,"nm, v",to say,je décrochais le téléphone sans rien dire à personne –,I picked up the telephone receiver without saying anything to anyone,77,66657
38,elle,pro,"she, her",j’étais fou amoureux. elle m’aimait bien,– I was head-over-heels in love. she loved me a lot,78,66136
39,devoir,"nm, v","to have to, owe; duty",je dois travailler sans la moindre entrave –,I must work without the least bit of hindrance,83,46491
40,avant,"adji, adv, nm, prep",before,tu vas te pencher en avant –,you’re going to lean forward,94,14109
41,deux,"det, nmi",two,il prend le train deux fois par semaine pour affaires –,he takes the train on business twice per week,87,31727
42,même,"adj(f), adv, pro","same, even, self",ils ne s’excusent même pas –,they don’t even excuse themselves,85,37784
43,prendre,v,to take,elle lui prit la main –,she took him by the hand,90,24323
44,aussi,"adv, conj","too, also, as",je rêvais aussi de beaucoup voyager –,I also dreamed of traveling a lot,88,26219
45,celui,pro,"that, the one, he, him",tu es celui que je respecte le plus –,you’re the one I respect the most,87,28015
46,donner,v,to give,j’aurais donné ma vie pour lui –,I would have given my life for him,90,19581
47,bien,"adji, adv, nm",well,tout va bien maintenant –,everything’s going well now,81,39477
48,où,"adv, pro",where,on ne dit pas où il vit –,they aren’t saying where he lives,87,27126
49,fois,nf(pl),"time, times",lève la main une fois –,raise your hand one time,92,15724
50,vous,pro,you,"ici, vous avez une personnalité publique –","here, you are a public personality",65,77127
51,encore,adv,"again, yet",tu as encore menti à ta femme –,you lied once again to your wife,89,19772
52,nouveau,"adj, nm",new,il a construit une nouvelle vie ici –,he made a new life for himself here,88,22005
53,aller,"nm, v",to go,"tu devrais aller te coucher, tu as l’air vanné –","you should go to bed, you look wiped out",73,50452
54,cela,pro,"that, it",cela demande de l’intégrité et du courage –,that requires integrity and courage,73,50891
55,entre,prep,between,je marche entre les maisons –,I’m walking between the houses,86,23028
